일자,충전방식,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2022-02-14,급속,2680,1840,960,1040,1480,2720,4760,8240,13680,15160,16680,20880,21240,19360,19600,19360,21480,19240,17480,15120,11480,9520,6720,4800
2022-02-14,완속,462,455,245,119,49,105,161,364,721,854,1169,1057,1148,1281,1547,1729,2044,2807,3255,3178,2471,2380,2352,1820
2022-02-15,급속,3000,2000,1680,1160,1640,3120,5440,8920,13720,15040,16480,19840,23280,20920,22400,22120,21880,21720,20480,18800,15760,11280,9400,6800
2022-02-15,완속,553,553,364,161,84,63,182,406,658,917,1029,1064,1162,1092,1309,1729,2303,2779,3927,3192,2807,2793,1946,1932
2022-02-16,급속,3200,2720,1480,1040,2240,2720,5080,8840,14480,17240,20520,21120,24800,21880,25040,24800,24400,21960,21440,20320,14840,11160,9400,7120
2022-02-16,완속,707,693,350,196,112,63,252,497,875,1001,1183,1407,1106,1463,1456,1925,2219,3220,3892,3493,3430,2457,1890,1834
2022-02-17,급속,4520,3360,1880,1120,1840,3440,6000,9560,16480,17360,18920,24080,27400,22760,21480,20200,22440,21440,22080,20720,15640,12680,9320,7280
2022-02-17,완속,630,623,259,126,91,126,217,441,952,875,1036,1211,1428,945,581,1337,1561,2716,4018,3619,3556,2513,2457,2163
2022-02-18,급속,4320,3400,2120,1760,2280,3240,6320,10360,16480,19360,21000,22720,26360,23640,24800,25520,23880,23560,20280,16920,15760,11240,9480,6800
2022-02-18,완속,672,665,329,70,119,161,238,588,931,1232,1365,1477,1540,1211,1519,1708,2415,2870,3619,3374,2744,2716,2072,2023
2022-02-19,급속,3960,2680,2080,1760,1800,2560,5120,9320,12240,14440,18120,18840,22400,22000,20720,21880,20000,18640,16600,12440,9560,9160,7400,5040
2022-02-19,완속,777,742,371,189,133,196,280,385,917,1071,1141,1274,1568,1659,1519,1820,2058,2345,2667,2401,2212,1932,1764,1736
2022-02-20,급속,3320,2360,2000,1480,1520,2160,2880,7240,10040,12240,18400,17600,20680,19440,21680,21640,19520,20360,15760,12960,11680,8760,7480,5440
2022-02-20,완속,686,672,315,315,98,105,252,399,602,1050,1386,1498,1743,1904,1771,2128,2359,2926,2905,2457,2086,2044,1547,1519
2022-02-21,급속,3280,2440,1760,1240,1640,3000,4720,7280,14680,18240,17560,22440,24640,22960,22040,23360,22320,20000,18760,16720,13760,10280,8080,6440
2022-02-21,완속,595,245,245,98,28,91,245,420,805,959,1050,1344,1246,1323,1344,1911,2296,3192,3682,3402,2324,2289,2072,1666
2022-02-22,급속,3680,2400,1760,1280,2200,3360,5280,8720,14240,17320,19200,21720,23360,24360,23600,23720,22960,22080,21320,16760,14520,10920,9000,6760
2022-02-22,완속,700,693,140,140,91,84,280,399,819,896,1190,1449,1428,1099,1295,1771,2275,2772,3969,3318,2695,2653,2219,2205
2022-02-23,급속,3840,3000,1880,1600,2480,3120,5360,9960,14600,18200,19600,21000,25640,24080,23360,24800,24800,24560,21600,19720,16440,11800,8640,6800
2022-02-23,완속,756,735,182,182,91,126,301,539,966,987,1330,1176,1267,1050,1393,1897,2254,3052,3885,3500,2632,2569,2107,1757
2022-02-24,급속,4200,2840,1680,1400,2120,2680,5520,10800,15840,19440,21280,22160,27320,23240,24360,25240,24800,25560,22320,18240,14440,10080,9560,7000
2022-02-24,완속,700,693,294,147,63,147,350,462,910,903,1148,1309,1372,1414,1463,1890,2317,3066,3731,3241,2611,2464,2219,2128
2022-02-25,급속,3520,2400,1480,1600,2480,3600,5480,9840,15680,18240,17240,22920,25880,23360,22440,24040,23880,22680,20920,16160,16280,11720,8360,7400
2022-02-25,완속,931,931,357,84,84,147,252,490,938,938,1036,1386,1344,1106,1540,1750,2527,2849,3752,3437,2485,2422,2359,2002
2022-02-26,급속,4160,2920,2200,1640,1560,2440,4760,8760,13760,15880,16960,19600,21640,19960,19920,19120,20080,18600,15080,11720,9200,8960,6040,4880
2022-02-26,완속,910,875,245,217,147,140,245,434,749,1120,1407,1302,1407,1568,1645,1757,1876,2345,2429,2191,2163,1897,1806,1631
2022-02-27,급속,3240,2200,1480,1160,1440,1720,4240,7000,10600,14160,14680,17280,19240,18360,18680,18680,19480,17440,15800,11960,10080,7480,6480,4400
2022-02-27,완속,882,882,378,280,84,91,315,385,756,1022,1162,1281,1526,1673,1610,1806,2338,2660,3010,2464,2100,2023,1505,1477
2022-02-28,급속,2960,2280,800,1000,1360,2760,5000,8280,12720,16080,17480,20080,21680,20800,21360,20600,22400,18840,17400,14160,11040,9000,7600,5240
2022-02-28,완속,588,588,553,91,91,98,217,434,728,784,1029,1078,1365,1176,1386,1568,2002,2737,3388,2723,2604,2408,2051,2002
2022-03-01,급속,3520,2280,1800,1440,1520,2560,4080,6280,9640,11880,14720,15600,17560,18920,19280,18720,21240,19520,15880,15840,12360,10320,8320,5680
2022-03-01,완속,805,798,350,231,126,140,238,350,623,889,952,994,1400,1442,1806,1904,2219,2765,2618,2618,2170,1778,1519,1484
2022-03-02,급속,2720,2160,1240,1160,1760,2320,5400,8080,12880,16080,15840,18600,22240,20640,19720,20080,22080,20240,18960,17280,12560,8840,7600,5680
2022-03-02,완속,511,511,231,119,126,98,238,455,1029,924,763,1211,1085,1022,1169,1673,2366,3003,3619,3297,2562,2275,2198,2170
2022-03-03,급속,3320,2480,1520,1040,1800,3040,5440,9280,12360,15520,17360,18760,21480,20760,17720,19320,21240,20520,18120,15640,12480,10120,8080,5560
2022-03-03,완속,616,609,273,203,105,70,210,511,910,931,826,1120,1106,1036,1113,1764,2163,2968,3605,3129,2597,2275,2170,2149
2022-03-04,급속,3000,2480,1920,960,1880,3080,4960,10600,13200,16760,17920,20280,23480,19640,18920,20160,20440,20080,17360,15440,12680,9640,7280,6120
2022-03-04,완속,700,350,350,287,63,98,252,532,1015,1022,910,1281,1211,1197,1071,1645,2373,3073,3507,3486,2548,2198,2135,1876
2022-03-05,급속,3960,2840,1880,1160,1840,2640,4720,8400,13280,13280,16640,17360,19640,20560,20480,19960,20120,18320,15520,12040,9760,8000,6200,4880
2022-03-05,완속,812,805,378,343,182,161,273,511,679,945,1127,1267,1582,1680,1694,1834,1736,2408,2583,2352,2212,1645,1799,1624
2022-03-06,급속,3600,2640,1720,1400,1240,1640,3760,5680,9680,13560,14440,15040,19040,17800,18640,19240,18040,17840,15280,12720,9480,8680,6480,3840
2022-03-06,완속,840,819,294,287,91,63,210,581,651,980,1337,1288,1519,1673,1883,2037,2485,2674,2919,2485,2093,1722,1694,1372
2022-03-07,급속,2800,2120,1280,720,1960,2360,4640,8280,12160,17240,16640,20320,20560,17280,20960,22080,20760,19560,19000,15480,12840,9480,6760,4920
2022-03-07,완속,644,630,252,112,42,98,189,392,980,959,847,1281,1148,1225,1211,1862,2163,3080,3899,3171,2499,1960,1883,1848
2022-03-08,급속,3400,2640,1800,920,1960,2960,5160,8680,13840,15360,16920,21000,22120,19640,21360,21280,20960,19480,18800,15720,12280,7920,7640,4960
2022-03-08,완속,889,868,287,238,91,56,182,623,1008,770,1043,1246,1134,1260,1197,1638,2317,2884,3731,3199,2653,2618,2093,2044
2022-03-09,급속,3760,2520,1960,1360,1880,2480,5280,8160,10560,13480,15320,18000,18240,16760,18200,17640,16360,17360,15480,11440,9800,7000,5440,3720
2022-03-09,완속,910,889,455,231,70,182,406,672,910,945,1106,1148,1512,1610,1659,1911,2149,2436,2737,2422,1911,1932,1463,1358
2022-03-10,급속,2920,2160,1440,1120,1880,2120,4680,7480,12960,13600,17280,16200,20360,18600,18280,20840,20000,19320,17400,14600,11960,9280,7520,5440
2022-03-10,완속,693,679,259,140,140,140,210,399,1050,917,749,1204,1001,1001,1351,1617,2177,2695,3535,3381,2401,1911,1855,1813
2022-03-11,급속,3280,2280,2040,1160,2400,3080,4200,8280,13560,14400,16280,19600,22480,18760,20560,20000,18240,18520,18440,16160,13360,9000,7600,5280
2022-03-11,완속,812,798,329,147,133,119,245,448,1085,980,1043,1120,1267,1155,1435,1904,2401,3129,3927,3297,2527,2471,2065,1995
2022-03-12,급속,3760,2880,2160,1680,2240,2800,5440,8520,12040,12960,14880,18000,18560,16920,19280,18000,17960,16480,14240,12040,8560,6440,4960,3560
2022-03-12,완속,931,903,343,343,140,196,273,525,735,945,1162,1253,1526,1603,1582,1561,1981,2247,2702,2387,2086,1757,1764,1750
2022-03-13,급속,2840,2120,1600,1080,960,2360,3200,6240,7600,10480,11200,11160,13640,14840,13240,14680,15520,13600,11920,10400,8280,5880,5440,3680
2022-03-13,완속,833,819,280,280,112,140,210,392,665,805,1183,1218,1421,1680,1911,1967,2205,2450,2422,2009,1883,1848,1435,1414
2022-03-14,급속,2360,1480,1040,880,1640,2680,4640,8000,11280,13520,13040,17560,19360,16960,16880,18240,19480,19280,17120,16000,12520,9240,7120,5040
2022-03-14,완속,539,532,147,126,77,84,154,434,889,917,798,1001,1225,1071,1099,1729,1974,2989,3521,3185,2408,2177,2275,2240
2022-03-15,급속,3520,2440,1720,1280,1880,3080,4600,10040,11960,15680,16400,18160,21800,18320,20840,19320,19440,21000,19120,18000,13240,9480,6440,5200
2022-03-15,완속,840,833,336,175,105,147,308,434,938,1099,1057,1155,1092,1001,1246,1624,2212,3157,3717,3262,3220,2618,2114,1743
2022-03-16,급속,2960,2480,1880,1160,1840,3120,5400,8720,13640,15480,15480,18760,20520,18040,18800,19920,18880,21040,19200,15360,13760,9160,6680,4920
2022-03-16,완속,812,364,357,126,84,91,203,532,966,1099,1043,1099,1141,1064,1183,1673,2219,2947,3514,3521,2506,2408,2086,2044
2022-03-17,급속,3560,2640,1680,920,2040,3040,5280,8920,12160,15160,15240,18200,20880,17520,17760,18600,20560,18640,17080,13480,12040,9080,6760,4240
2022-03-17,완속,777,770,322,210,112,168,245,448,1057,966,903,1085,1155,1232,1246,1617,2135,2975,3591,3192,2289,2149,2205,2149
2022-03-18,급속,3560,2720,1840,1160,1080,2480,4840,10200,14200,16480,18200,18640,23560,20760,22720,20240,23000,21840,20320,16640,12480,10040,8720,6240
2022-03-18,완속,763,749,420,203,119,133,238,448,896,1057,1043,1302,1414,1211,1477,1918,2149,3409,3787,3304,2681,2394,1995,2079
2022-03-19,급속,4320,3400,2720,1680,2280,2680,4200,7560,10600,13120,17600,19760,19400,22000,22680,22640,21080,18600,16480,12840,11840,9160,7040,5000
2022-03-19,완속,1043,1015,469,294,133,175,238,476,777,1043,1288,1351,1610,1841,1834,1757,2051,2282,2527,2394,2044,1834,1694,1624
2022-03-20,급속,3800,2640,2120,1640,1400,2000,4040,6880,9560,12280,14920,15080,17560,17200,18800,19360,18920,16640,14960,12680,9920,8280,5720,3760
2022-03-20,완속,994,987,315,196,112,91,203,371,840,1106,1274,1498,1925,1617,1680,2317,2492,2863,2898,3024,2268,1799,1568,1540
2022-03-21,급속,3560,2560,1560,1160,1720,2960,4440,8240,12520,16160,15640,20760,20440,18600,21280,19840,22760,21120,19880,15000,12640,9800,6800,4600
2022-03-21,완속,588,574,196,77,91,126,231,567,1001,1113,1022,1351,1211,1043,1407,1785,2282,3290,3850,3171,2226,2086,2023,2002
2022-03-22,급속,3600,2880,1760,1240,2000,2640,5280,10240,13680,14800,17440,19320,23840,19360,19240,20760,22960,20160,20040,16520,12720,9600,7520,5040
2022-03-22,완속,819,812,315,105,77,126,294,427,973,1057,1183,1155,1253,1106,1379,1687,2275,3045,3857,3416,2310,2352,1904,1792
2022-03-23,급속,3880,2760,1640,1240,2600,2920,5760,9360,12400,15480,18200,20840,22720,18960,20160,22080,23560,22480,22120,17440,13280,10960,8080,4960
2022-03-23,완속,868,861,399,154,133,84,203,497,1015,1029,994,1218,1337,1043,1442,1925,2478,3255,3759,3493,2674,2156,2226,2205
2022-03-24,급속,3760,2480,1800,1520,2000,3200,6760,10360,14440,17160,16800,23040,22280,20760,21400,23280,22320,20800,21680,16880,12760,10040,8400,5560
2022-03-24,완속,763,763,420,133,98,84,259,490,1057,1050,917,1302,1183,1071,1428,1757,2415,3304,3633,3633,2639,2128,2051,2009
2022-03-25,급속,4440,3280,2120,1120,2040,3040,6120,10600,14000,17200,17680,20480,23520,21600,21280,23120,21800,20640,18720,14960,9760,9360,6760,4440
